Category,Title,Price (INR),Description,Image URL
Washing Machine, Top Load Washing Machine, 2499, A top-load washing machine for ease of use and convenience., https://example.com/top_load_washing_machine.jpg
Washing Machine, Portable Washing Machine, 4999, A portable washing machine for compact living spaces., https://example.com/portable_washing_machine.jpg
Air Conditioner, Window Air Conditioner, 6999, A window air conditioner ideal for cooling small rooms., https://example.com/window_air_conditioner.jpg
Air Conditioner, Split Air Conditioner, 12499, A split air conditioner designed for quieter operation., https://example.com/split_air_conditioner.jpg
Air Conditioner, Portable Air Conditioner, 4999, A portable air conditioner for flexible cooling options., https://example.com/portable_air_conditioner.jpg
Fan, Ceiling Fan, 2499, A ceiling fan designed to circulate air efficiently in rooms., https://example.com/ceiling_fan.jpg
Fan, Table Fan, 499, A table fan for personal cooling in small spaces., https://example.com/table_fan.jpg
Fan, Tower Fan, 3299, A tower fan offering high airflow in a sleek design., https://example.com/tower_fan.jpg
Heater, Oil Heater, 2499, An oil heater providing consistent warmth during cold weather., https://example.com/oil_heater.jpg
Heater, Ceramic Heater, 2499, A ceramic heater offering quick and efficient heating., https://example.com/ceramic_heater.jpg
Heater, Electric Heater, 4999, An electric heater with adjustable settings for comfort., https://example.com/electric_heater.jpg
Vacuum Cleaner, Bagless Vacuum Cleaner, 4999, A bagless vacuum cleaner for easy cleaning and maintenance., https://example.com/bagless_vacuum_cleaner.jpg
Vacuum Cleaner, Robotic Vacuum Cleaner, 9999, A robotic vacuum cleaner designed for hands-free cleaning., https://example.com/robotic_vacuum_cleaner.jpg
Vacuum Cleaner, Wet and Dry Vacuum Cleaner, 2499, A wet and dry vacuum cleaner for versatile cleaning tasks., https://example.com/wet_and_dry_vacuum_cleaner.jpg
Coffee Maker, Espresso Machine, 24999, An espresso machine for brewing professional-quality espresso., https://example.com/espresso_machine.jpg
Coffee Maker, Drip Coffee Maker, 4999, A drip coffee maker for brewing delicious coffee., https://example.com/drip_coffee_maker.jpg
Coffee Maker, Single-Serve Coffee Maker, 1499, A single-serve coffee maker for quick and convenient coffee., https://example.com/single_serve_coffee_maker.jpg
Blender, High-Speed Blender, 4999, A high-speed blender for smoothies soups and more., https://example.com/high_speed_blender.jpg
Blender, Personal Blender, 1499, A personal blender for making smoothies on the go., https://example.com/personal_blender.jpg
Blender, Immersion Blender, 2499, An immersion blender for quick blending in containers., https://example.com/immersion_blender.jpg
Mixer, Stand Mixer, 9999, A stand mixer for heavy-duty mixing in baking and cooking., https://example.com/stand_mixer.jpg
Mixer, Hand Mixer, 4999, A hand mixer for convenient mixing and whisking., https://example.com/hand_mixer.jpg
Mixer, Immersion Mixer, 2499, An immersion mixer ideal for blending in bowls and pots., https://example.com/immersion_mixer.jpg
Grill, Gas Grill, 14999, A gas grill for outdoor grilling and barbecues., https://example.com/gas_grill.jpg
Grill, Charcoal Grill, 4999, A charcoal grill for an authentic barbecue flavor., https://example.com/charcoal_grill.jpg
Grill, Electric Grill, 2499, An electric grill for indoor grilling with ease., https://example.com/electric_grill.jpg
Sewing Machine, Manual Sewing Machine, 2499, A manual sewing machine for simple sewing tasks., https://example.com/manual_sewing_machine.jpg
Sewing Machine, Automatic Sewing Machine, 4999, An automatic sewing machine for faster and more efficient sewing., https://example.com/automatic_sewing_machine.jpg
Sewing Machine, Embroidery Sewing Machine, 9999, An embroidery sewing machine for creating intricate designs., https://example.com/embroidery_sewing_machine.jpg
Wristwatch, Analog Wristwatch, 2499, An analog wristwatch with a classic design., https://example.com/analog_wristwatch.jpg
Wristwatch, Digital Wristwatch, 3299, A digital wristwatch with a modern and functional design., https://example.com/digital_wristwatch.jpg
Wristwatch, Smartwatch, 4999, A smartwatch with fitness tracking and notification features., https://example.com/smartwatch.jpg
Shoes, Running Shoes, 4999, A pair of running shoes designed for comfort and performance., https://example.com/running_shoes.jpg
Shoes, Casual Shoes, 2499, A pair of casual shoes suitable for everyday wear., https://example.com/casual_shoes.jpg
Shoes, Formal Shoes, 1499, A pair of formal shoes for business or formal occasions., https://example.com/formal_shoes.jpg
T-Shirt, Graphic T-Shirt, 599, A graphic t-shirt with a stylish design., https://example.com/graphic_tshirt.jpg
T-Shirt, Plain T-Shirt, 299, A plain t-shirt for casual wear., https://example.com/plain_tshirt.jpg
T-Shirt, Polo T-Shirt, 999, A polo t-shirt for a smart-casual look., https://example.com/polo_tshirt.jpg
Jeans, Skinny Jeans, 1999, A pair of skinny jeans with a modern fit., https://example.com/skinny_jeans.jpg
Jeans, Bootcut Jeans, 2499, A pair of bootcut jeans for a comfortable and stylish fit., https://example.com/bootcut_jeans.jpg
Jeans, Straight Jeans, 1499, A pair of straight jeans for a classic look., https://example.com/straight_jeans.jpg
Sunglasses, Aviator Sunglasses, 2499, A pair of aviator sunglasses for a sleek and stylish look., https://example.com/aviator_sunglasses.jpg
Sunglasses, Round Sunglasses, 1999, A pair of round sunglasses for a retro-inspired style., https://example.com/round_sunglasses.jpg
Sunglasses, Wayfarer Sunglasses, 2499, A pair of wayfarer sunglasses for a timeless fashion statement., https://example.com/wayfarer_sunglasses.jpg
Hat, Baseball Cap, 699, A baseball cap for a sporty and casual look., https://example.com/baseball_cap.jpg
Hat, Fedora, 1499, A fedora for a more formal and stylish look., https://example.com/fedora.jpg
Hat, Beanie, 999, A beanie for keeping warm in cold weather., https://example.com/beanie.jpg
Bag, Backpack, 1499, A durable backpack ideal for school or travel., https://example.com/backpack.jpg
Bag, Handbag, 2499, A stylish handbag suitable for everyday use., https://example.com/handbag.jpg
Bag, Duffel Bag, 1999, A duffel bag perfect for gym or short trips., https://example.com/duffel_bag.jpg
Bottle, Water Bottle, 299, A reusable water bottle to keep you hydrated., https://example.com/water_bottle.jpg
Bottle, Thermos, 599, A thermos to keep drinks hot or cold., https://example.com/thermos.jpg
Bottle, Sports Bottle, 499, A sports bottle designed for workouts and running., https://example.com/sports_bottle.jpg
Book, Novel, 399, A captivating novel for reading enthusiasts., https://example.com/novel.jpg
Book, Textbook, 799, An educational textbook for academic learning., https://example.com/textbook.jpg
Book, Notebook, 199, A notebook ideal for taking notes and journaling., https://example.com/notebook.jpg
Toy, Teddy Bear, 699, A cuddly teddy bear toy for kids., https://example.com/teddy_bear.jpg
Toy, Remote Car, 1499, A remote-controlled car for fun and excitement., https://example.com/remote_car.jpg
Toy, Puzzle, 499, A brain-teasing puzzle game for kids and adults., https://example.com/puzzle.jpg
Chair, Office Chair, 3999, An ergonomic office chair for comfortable seating., https://example.com/office_chair.jpg
Chair, Dining Chair, 1999, A wooden dining chair for home use., https://example.com/dining_chair.jpg
Chair, Folding Chair, 999, A portable folding chair for indoor and outdoor use., https://example.com/folding_chair.jpg
Table, Coffee Table, 2999, A modern coffee table for your living room., https://example.com/coffee_table.jpg
Table, Study Table, 3499, A study table ideal for students and professionals., https://example.com/study_table.jpg
Table, Dining Table, 5999, A dining table perfect for family meals., https://example.com/dining_table.jpg
Laptop, Gaming Laptop, 74999, A high-performance laptop for gaming and work., https://example.com/gaming_laptop.jpg
Laptop, Ultrabook, 59999, A lightweight ultrabook with long battery life., https://example.com/ultrabook.jpg
Laptop, Convertible Laptop, 64999, A 2-in-1 convertible laptop for work and play., https://example.com/convertible_laptop.jpg
Mobile, Smartphone, 24999, A smartphone with advanced features and performance., https://example.com/smartphone.jpg
Mobile, Feature Phone, 1499, A simple feature phone for basic communication., https://example.com/feature_phone.jpg
Mobile, Foldable Phone, 84999, A futuristic foldable phone with flexible display., https://example.com/foldable_phone.jpg
Tablet, Android Tablet, 14999, An Android tablet for media and productivity., https://example.com/android_tablet.jpg
Tablet, iPad, 34999, A premium iPad with iOS features and performance., https://example.com/ipad.jpg
Tablet, Kids Tablet, 9999, A tablet designed specifically for children., https://example.com/kids_tablet.jpg
TV, LED TV, 19999, A slim LED TV with clear display and sound., https://example.com/led_tv.jpg
TV, Smart TV, 29999, A smart TV with internet and app connectivity., https://example.com/smart_tv.jpg
TV, OLED TV, 49999, A high-end OLED TV for premium viewing experience., https://example.com/oled_tv.jpg
Camera, DSLR, 45999, A DSLR camera for professional photography., https://example.com/dslr.jpg
Camera, Action Camera, 14999, A compact action camera for capturing adventures., https://example.com/action_camera.jpg
Camera, Polaroid Camera, 9999, An instant Polaroid camera for quick photo prints., https://example.com/polaroid_camera.jpg
Microwave, Solo Microwave, 4999, A solo microwave for basic reheating and cooking., https://example.com/solo_microwave.jpg
Microwave, Grill Microwave, 7999, A grill microwave for cooking and grilling., https://example.com/grill_microwave.jpg
Microwave, Convection Microwave, 9999, A convection microwave for baking and roasting., https://example.com/convection_microwave.jpg
Washing Machine, Front Load, 24999, A front-load washing machine for efficient laundry., https://example.com/front_load.jpg
Washing Machine, Top Load, 19999, A top-load washing machine for convenience., https://example.com/top_load.jpg
Washing Machine, Semi Automatic, 14999, A semi-automatic machine for budget washing., https://example.com/semi_automatic.jpg
Refrigerator, Single Door, 14999, A compact single-door refrigerator for small families., https://example.com/single_door.jpg
Refrigerator, Double Door, 24999, A spacious double-door refrigerator., https://example.com/double_door.jpg
Refrigerator, Side by Side, 49999, A side-by-side refrigerator with large capacity., https://example.com/side_by_side.jpg
